analyte,setup_id,method,n_components,requested_n_components,score_trend_degree,score_trend_degree_effective,smooth_window,smooth_polyorder,grid_points,scope_summary,n_detail_rows,avg_cumulative_explained_variance_ratio,avg_abs_pc_pearson,avg_abs_pc_spearman,avg_pc_trend_r2,avg_rmse_uA,median_rmse_uA,max_rmse_uA,avg_mae_uA,avg_max_abs_residual_uA,avg_normalized_rmse,median_normalized_rmse,avg_r2,median_r2,min_r2,objective_score
UA,198,pcr,3,3,3,3,151,2,0,electrode,16,1,0.541668970774,0.5,1,2.75746190186e-14,1.60453439015e-15,2.69654657442e-13,2.395266827e-14,1.36051760136e-13,5.83962988089e-16,3.53423778178e-16,1,1,1,1.07708344854
UA,216,pcr,3,3,3,3,151,2,500,electrode,16,1,0.541463059435,0.5,1,3.68580957957e-14,1.88340938861e-15,3.36141012206e-13,2.89892871158e-14,2.29995709977e-13,7.16556736202e-16,4.15936395446e-16,1,1,1,1.07707315297
UA,144,pcr,3,3,3,3,101,2,0,electrode,16,1,0.541153490582,0.5,1,2.80124294659e-14,1.80357972355e-15,2.28498496105e-13,2.27357814355e-14,6.23338186623e-14,5.99300612719e-16,3.93739229589e-16,1,1,1,1.07705767453
UA,117,pcr,3,3,3,3,51,3,0,electrode,16,1,0.541055592739,0.5,1,3.27871280596e-14,1.90246939075e-15,2.53943061952e-13,2.59966371332e-14,2.3939964594e-13,6.43481874482e-16,3.8380541104e-16,1,1,1,1.07705277964
UA,9,pcr,3,3,3,3,0,0,0,electrode,16,1,0.541054737064,0.5,1,2.68551966549e-14,1.93980966782e-15,2.02599694403e-13,2.12731231283e-14,2.34784414133e-13,5.70109699885e-16,3.64472817152e-16,1,1,1,1.07705273685
UA,63,pcr,3,3,3,3,31,3,0,electrode,16,1,0.541053195917,0.5,1,2.3611610553e-14,1.65596530069e-15,1.93731113542e-13,1.91657185337e-14,9.7703095614e-14,4.89570028754e-16,3.32263909576e-16,1,1,1,1.0770526598
UA,36,pcr,3,3,3,3,31,2,0,electrode,16,1,0.541052777172,0.5,1,3.83538046159e-14,2.24921614708e-15,3.54180942505e-13,2.99312146132e-14,1.50992933434e-13,6.9230118382e-16,4.8108988502e-16,1,1,1,1.07705263886
UA,90,pcr,3,3,3,3,51,2,0,electrode,16,1,0.541037132222,0.5,1,3.57049478866e-14,2.18400372054e-15,2.94491161396e-13,2.99772789521e-14,2.46316855801e-13,6.67117597831e-16,4.33174905176e-16,1,1,1,1.07705185661
UA,207,pcr,3,3,3,3,151,2,250,electrode,16,1,0.541033220492,0.5,1,4.99156769993e-14,1.97912075842e-15,4.89865486463e-13,4.16925012758e-14,1.1585177262e-13,8.47599778172e-16,4.17487149123e-16,1,1,1,1.07705166102
UA,171,pcr,3,3,3,3,101,3,0,electrode,16,1,0.541017401135,0.5,1,3.24014121726e-14,1.71674929524e-15,3.37716523108e-13,2.52713462918e-14,1.68240421594e-13,6.12484899759e-16,3.49518196588e-16,1,1,1,1.07705087006
UA,225,pcr,3,3,3,3,151,3,0,electrode,16,1,0.54093995778,0.5,1,3.92927661224e-14,1.75302972737e-15,3.48398784408e-13,3.11572076724e-14,1.79788042093e-13,6.75101781167e-16,3.66998004222e-16,1,1,1,1.07704699789
UA,162,pcr,3,3,3,3,101,2,500,electrode,16,1,0.540885423783,0.5,1,3.27443995829e-14,2.37582362398e-15,3.60635214096e-13,2.4997124527e-14,1.17864051852e-13,7.08496086768e-16,4.99935391775e-16,1,1,1,1.07704427119
UA,27,pcr,3,3,3,3,0,0,500,electrode,16,1,0.540742287285,0.5,1,3.34560011375e-14,1.88341208199e-15,3.14274050692e-13,2.55922342862e-14,1.08598026405e-13,6.4873919099e-16,4.07626143752e-16,1,1,1,1.07703711436
UA,54,pcr,3,3,3,3,31,2,500,electrode,16,1,0.540717436142,0.5,1,4.24531457024e-14,1.68154963021e-15,4.41133488105e-13,3.13719254418e-14,1.68143277079e-13,7.088889991e-16,3.30765128736e-16,1,1,1,1.07703587181
UA,135,pcr,3,3,3,3,51,3,500,electrode,16,1,0.540717354965,0.5,1,3.82839373396e-14,2.25188971078e-15,3.85077705946e-13,2.85534011757e-14,8.93745797856e-14,7.07754487797e-16,4.69728992418e-16,1,1,1,1.07703586775
UA,81,pcr,3,3,3,3,31,3,500,electrode,16,1,0.540716380514,0.5,1,2.60774894061e-14,1.93246766896e-15,2.13110069589e-13,2.08477807225e-14,7.38367700315e-14,5.65843920832e-16,3.7275462376e-16,1,1,1,1.07703581903
UA,108,pcr,3,3,3,3,51,2,500,electrode,16,1,0.540714313372,0.5,1,2.66740120998e-14,1.88747193622e-15,2.39436566929e-13,2.18716181607e-14,1.34145299036e-13,5.55638833584e-16,3.56587867159e-16,1,1,1,1.07703571567
UA,189,pcr,3,3,3,3,101,3,500,electrode,16,1,0.540695445558,0.5,1,2.29583666422e-14,1.59009438283e-15,1.78750969138e-13,1.95195490546e-14,7.03135466518e-14,5.3959495546e-16,3.15205774872e-16,1,1,1,1.07703477228
UA,243,pcr,3,3,3,3,151,3,500,electrode,16,1,0.540647809546,0.5,1,2.97891398404e-14,1.87937865263e-15,2.41203377728e-13,2.52575634176e-14,8.46024639234e-14,5.62824035854e-16,3.68933856479e-16,1,1,1,1.07703239048
UA,153,pcr,3,3,3,3,101,2,250,electrode,16,1,0.540324504766,0.5,1,3.80716105522e-14,1.69986214503e-15,3.34408989938e-13,3.19144751689e-14,9.24364751409e-14,7.10696177344e-16,3.89111723909e-16,1,1,1,1.07701622524
UA,18,pcr,3,3,3,3,0,0,250,electrode,16,1,0.540082554936,0.5,1,3.25932592437e-14,2.13992098892e-15,2.7825441837e-13,2.40974807705e-14,8.33777491493e-14,6.41025735178e-16,4.29294023685e-16,1,1,1,1.07700412775
UA,99,pcr,3,3,3,3,51,2,250,electrode,16,1,0.540034581091,0.5,1,2.6760341073e-14,1.75223999917e-15,2.07109172717e-13,2.21393651796e-14,6.9250161161e-14,5.66935606435e-16,3.55232308506e-16,1,1,1,1.07700172905
UA,234,pcr,3,3,3,3,151,3,250,electrode,16,1,0.540034533531,0.5,1,3.09756594307e-14,2.05611097198e-15,3.10432891841e-13,2.59345149052e-14,6.32753398289e-14,6.08502773627e-16,4.10689802074e-16,1,1,1,1.07700172668
UA,180,pcr,3,3,3,3,101,3,250,electrode,16,1,0.54001730763,0.5,1,2.85872644162e-14,2.34321248454e-15,2.14662476269e-13,2.26669071611e-14,6.48578413198e-14,6.24064813616e-16,4.88452964888e-16,1,1,1,1.07700086538
UA,45,pcr,3,3,3,3,31,2,250,electrode,16,1,0.540010026046,0.5,1,3.10391927816e-14,1.73978927679e-15,2.83100672741e-13,2.66003276344e-14,5.62917767954e-14,5.78712222073e-16,3.57658452329e-16,1,1,1,1.0770005013
UA,72,pcr,3,3,3,3,31,3,250,electrode,16,1,0.540005019568,0.5,1,4.40316282226e-14,2.00668242863e-15,4.19787872781e-13,3.38052637863e-14,9.41312999769e-14,7.2148925233e-16,3.94114427586e-16,1,1,1,1.07700025098
UA,126,pcr,3,3,3,3,51,3,250,electrode,16,1,0.540001739521,0.5,1,3.06569616394e-14,1.7691616071e-15,3.02293167612e-13,2.44151892654e-14,9.76232983341e-14,6.01035888244e-16,3.73108155827e-16,1,1,1,1.07700008698
UA,198,pcr,3,3,3,3,151,2,0,all,20,1,0.537041038138,0.513333333333,1,2.77481090092e-14,1.90978168045e-15,2.69654657442e-13,2.33534312369e-14,1.61059360293e-13,7.21751397882e-16,4.45732091712e-16,1,1,1,1.07685205191
UA,216,pcr,3,3,3,3,151,2,500,all,20,1,0.536860275425,0.513333333333,1,3.5533665385e-14,1.88340938861e-15,3.36141012206e-13,2.81550053803e-14,2.12640322017e-13,8.12944612319e-16,4.15936395446e-16,1,1,1,1.07684301377
UA,144,pcr,3,3,3,3,101,2,0,all,20,1,0.536541797211,0.513333333333,1,2.99471887885e-14,1.90770257865e-15,2.28498496105e-13,2.40989433398e-14,9.10979625068e-14,7.72416684169e-16,3.94690996456e-16,1,1,1,1.07682708986
UA,207,pcr,3,3,3,3,151,2,250,all,20,1,0.536479680699,0.513333333333,1,4.76042773369e-14,1.97912075842e-15,4.89865486463e-13,3.87042343684e-14,1.1063788774e-13,9.77759768354e-16,4.17487149123e-16,1,1,1,1.07682398403
UA,117,pcr,3,3,3,3,51,3,0,all,20,1,0.536440167903,0.513333333333,1,3.15953007235e-14,2.13359248298e-15,2.53943061952e-13,2.540314283e-14,2.07078104664e-13,7.38949004215e-16,4.17843532127e-16,1,1,1,1.0768220084
UA,9,pcr,3,3,3,3,0,0,0,all,20,1,0.536439822579,0.513333333333,1,3.07100873458e-14,1.93980966782e-15,2.02599694403e-13,2.42769382695e-14,2.23042417868e-13,8.06696900411e-16,3.6567993742e-16,1,1,1,1.07682199113
UA,36,pcr,3,3,3,3,31,2,0,all,20,1,0.536438659673,0.513333333333,1,3.9299577559e-14,2.4692510271e-15,3.54180942505e-13,3.14493914951e-14,1.6059584218e-13,8.94308129087e-16,5.52844781969e-16,1,1,1,1.07682193298
UA,63,pcr,3,3,3,3,31,3,0,all,20,1,0.536438259143,0.513333333333,1,2.6595265591e-14,1.72270180789e-15,1.93731113542e-13,2.15052626234e-14,1.20128906822e-13,6.85822470314e-16,3.36356535116e-16,1,1,1,1.07682191296
